gene_name,gene_id
ITGB2,NA
ITGB3,ncbi_374209
ITGB5,NA
ITGB6,NA
ITGB8,NA
ITK,NA
ITPR1,NA
Itpripl1,XLOC_007745
JAG1,NA
JAK1,NA
JAK2,ncbi_374199
JARID1A,NA
JMJD2A,NA
JUN,NA
KAL1,NA
KAZN,ncbi_426211
KCND3,ncbi_374228
KCNF1,ncbi_428652
KCNJ5,ncbi_395925
KCTD14,NA
KDELR2,NA
KIAA0020,NA
KIAA0082,NA
KIAA0152,NA
KIAA0174,NA
KIAA0226,NA
KIAA0423,NA
KIAA1217,NA
KIF11,NA
KIF1A,NA
KIF26A,ncbi_423489
KIF9,NA
KIFC1,NA
KIFC3,NA
KLF11,NA
KLF5,NA
KLHL10,ncbi_420033
KMO,NA
KPNA2,NA
KPNA4,NA
KRAS,NA
KRT14,NA
KRT18,ncbi_101749333
KRT4,NA
KRT5,NA
KRT8,NA
KRTC42L,ncbi_420039
LACTB,NA
LAG3,NA
LAMB1,NA
LAMP1,NA
LAMP2,NA
LAMP3,NA
LAP3,NA
LAPTM4B,NA
LARGE,NA
LARP5,NA
LARS2,NA
LBA1,NA
LCAT,NA
LCOR,NA
LCP1,NA
LDHB,NA
LEPR,NA
LGALS3,NA
LGMN,NA
LIFR,NA
LIG3,NA
LIMCH1,ncbi_422780
LIMK2,NA
LIPA,NA
LMNB2,NA
LMO2,NA
LMOD1,ncbi_771476
LOC100857117,ncbi_100857117
LOC100857840,ncbi_100857840
LOC100858381,ncbi_100858381
LOC100859302,ncbi_100859302
LOC100859304,ncbi_100859304
LOC100859848,ncbi_100859848
LOC101748229,ncbi_101748229
LOC101748329,ncbi_101748329
LOC101748577,ncbi_101748577
LOC101749583,ncbi_101749583
LOC101750112,ncbi_101750112
LOC101750271,ncbi_101750271
LOC101751046,ncbi_101751046
LOC101752046,ncbi_101752046
LOC107049026,ncbi_107049026
LOC107049114,ncbi_107049114
LOC107049250,ncbi_107049250
LOC107049469,ncbi_107049469
LOC107050833,ncbi_107050833
LOC107052134,ncbi_107052134
LOC107052152,ncbi_107052152
LOC107052494,ncbi_107052494
LOC107052684,ncbi_107052684
LOC107052968,ncbi_107052968
LOC107053055,ncbi_107053055
LOC107053353,ncbi_107053353
LOC107053690,ncbi_107053690
LOC107054459,ncbi_107054459
LOC107054474,ncbi_107054704
LOC107054710,ncbi_107054710
LOC107055315,ncbi_107055315
